ref,libelle,coefficient
1,Algorithmique,4
2,Programmation C,2
3,Bases de données,3
4,Systèmes Unix,2
5,Développement Web,2
6,Mathématiques discrètes,3
7,Introduction aux réseaux,4
8,Architecture des ordinateurs,2
9,Analyse Mathématique,2
10,Probabilités et Statistiques,3
11,Sécurité Informatique,3
12,Intelligence Artificielle,2
13,Stage,4
14,Anglais Technique,2
15,Administration Systèmes,3
16,Programmation Objet,4
17,Cloud Computing,2
18,Économie,2
19,Big Data,3
20,Méthodologie de Recherche,2
21,Maths,4
